school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate,eoc_algebra_proficient_pct,eoc_biology_proficient_pct,eoc_amlit_proficient_pct,eoc_ushistory_proficient_pct,instruction_expenditure_per_fte,inexperienced_teacher_pct,school_ppe,fesr_star_rating,fesr_academic_score,direct_cert_pct
7 Pillars Career Academy,,,,,,,,,,,,,,,6.0,3.1,,9.3,,78.0,11337.0,,44.4,70.5
9th Grade Academy,1,56,56,28,50.0,,,,,,,,,,,,,,5208.0,52.0,,4.0,,
A. Philip Randolph Elementary,,,,,,,,,,,,,,,,,,,,,,2.0,,
A.L. Burruss Elementary School,,,,,,,,,,,,,,,,,,,10764.0,44.0,16970.0,2.5,86.6,37.7
Aaron Cohn Middle School,,,,,,,,,,,,,,,91.4,,,,6648.0,37.0,10856.0,4.5,73.6,31.4
Aaron Cohn Regional Youth Detention Center,,,,,,,,,,,,,,,,,,,,,,,,89.5
Abbotts Hill Elementary School,,,,,,,,,,,,,,,,,,,10451.0,62.0,13852.0,3.5,92.2,14.8
Academy For Classical Education,18,247,509,455,89.4,24.8,24.2,24.6,25.8,24.4,12,100.0,70.94,,75.4,70.4,80.3,79.4,8031.0,34.0,10792.0,,88.5,26.9
Academy of Richmond County High School,16,282,581,115,19.8,16.6,13.4,16.0,18.9,17.9,12,87.0,36.32,2.4,10.3,26.1,18.8,12.1,5906.0,44.0,11232.0,3.0,57.7,55.7
Acworth Elementary School,,,,,,,,,,,,,,,,,,,13794.0,,15876.0,2.5,85.3,49.3
Acworth Intermediate School,,,,,,,,,,,,,,,,,,,11147.0,40.0,,,,58.4
Adairsville Elementary School,,,,,,,,,,,,,,,,,,,10080.0,36.0,8775.0,4.0,74.8,42.8
Adairsville High School,25,366,955,436,45.7,20.8,18.9,20.6,21.7,22.2,21,99.01,63.25,0.9,39.9,50.2,42.1,34.6,8586.0,41.0,11422.0,3.5,75.8,35.0
Adairsville Middle School,5,,,,,,,,,,,,,,96.9,,,,9007.0,26.0,10755.0,4.0,76.7,41.6
Adamson Middle School,,,,,,,,,,,,,,,92.9,100.0,,,8712.0,51.0,14164.0,2.5,78.0,67.2
Addison Elementary School,,,,,,,,,,,,,,,,,,,13283.0,30.0,13922.0,3.0,88.7,24.1
Albany High School,3,8,18,4,22.2,17.8,16.9,17.2,18.1,18.4,54,81.77,18.67,3.7,,,,,,,,,,
Albany Middle School,,,,,,,,,,,,,,,,,,,5203.0,52.0,12922.0,2.5,64.7,88.4
Alcova Elementary School,,,,,,,,,,,,,,,,,,,8662.0,70.0,11067.0,3.5,67.0,47.5
